Title,Summary,Source,Source,Topic,Business line
Ultra-modern aircraft engine service centre opens near Wroclaw,"A state-of-the-art XEOS Aircraft Service and Repair Centre was opened near Wrocław, Poland. The impressive investment worth PLN 1 billion is by two aviation industry giants - Lufthansa Technik and GE Aviation.",The Mayor,The Mayor,New facility,Commercial
Rolls-Royce waits on mega Emirates order,Rolls-Royce Holdings Plc cast doubt on the likelihood that a $21 billion Emirates order for 70 Airbus SE jets equipped with the UK company’s engines will be signed at the Dubai Airshow next month.,Gulf News,Gulf News,Deal,Commercial
A look at security and aerospace company Lockheed Martin (plus how to get hired),"Lockheed Martin, the security and aerospace company that’s over a hundred years old, has become a dominant player in the unique industry. Find out more about the company, including the defining characteristics of its company culture, how the company addresses diversity, and inside advice on how to get hired there. ",Ladders,Ladders,PlayerProfile,Military
Aernnova Aerospace's Acquisition Of GE Aviation's Hamble Facility,"The acquisition of the Hamble facility is likely to increase Aernnova’s long-term, predictable revenues by approximately US$200 million per year, and also includes acquisition of assets in Suzhou, China.",Global Legal Chronicle ,Global Legal Chronicle ,New facility,Generic
Airbus and Dassault urge their governments to act on the FCAS,"This year, the Paris Air Show saw the signing of the agreement that set the legal framework for the joint development of the Future Air Combat System (FCAS) European fighter jet program started by France and Germany and recently joined by Spain. Since then, Dassault and Airbus have been eagerly waiting for the green light to start developing their demonstrators.",AeroTime News Hub  ,AeroTime News Hub  ,New aircraft,Military
Collins Aerospace expands deal with China Aviation Supplies,"Collins Aerospace Systems, a unit of United Technologies, announced that it has expanded the scope of its existing contract with China Aviation Supplies (CASC) to jointly provide nacelle spare parts support to airline operators.",Asian Aviation  ,Asian Aviation  ,Deal,Commercial
"Intel, Lockheed Martin Work with Systems Providers to Advance Security for Critical Workloads","The solutions are built on a foundation of 2nd Generation Intel Xeon Scalable processors and provide protection across the entire computing stack, from hardware to software, including hypervisors, operating systems and applications.",IT News Online,IT News Online,Cybersecurity,Military
Magnus Aircraft Inaugurates Huge Production Hall in Pécs,"Magnus Aircraft has invested some 6 billion forints (EUR 18m) at the base over the past two years, supported by 2 billion forints in government grant money.",Hungary Today,Hungary Today,New facility,Generic
S.A.F.E. Partners with Airflow Solutions to Design and Manufacture and Ergonomic Custom RB211-535 Rolls-Royce Engine Work Stand,S.A.F.E. Structure Designs will utilize Airflow solutions expertise in engine repair and overhaul when designing the custom engine maintenance stand. The newly designed engine stand will increase safety and efficiency for Airflow technicians.,AviationPros.com,AviationPros.com,Product,Generic
The Netherlands to buy nine more F-35s for $1.1 billion,"The envisioned €1 billion acquisition will “lay the foundation” for a third F-35 squadron in the Dutch air force, a plan that government officials first floated in late 2018, according to a statement posted on the defense ministry website.",DefenseNews.com,DefenseNews.com,Aircraft sales,Military
$3.3 Million Grant For Fuel Cell/Electric Aviation Startup ZeroAvia,The aviation startup ZeroAvia has received a £2.7m (US$3.3 million) grant from the UK.,CleanTechnica,CleanTechnica,Startup,Generic
DGCA a step ahead in push for overhaul of A320 Neo aircraft,"With US federal aviation administration issuing proposed airworthiness directives for Airbus 320 Neos, Directorate General of Civil Aviation (DGCA) chief on Friday said the Indian aviation regulator has already met the criterion.",The New Indian Express,The New Indian Express,Airworthiness Directive,Commercial
FBOs Spread Their Wings for the On-Demand Crowd,These airport facilities provide amenities for pilots and fuel and services for aircraft but also many amenities for business jet passengers.,Business Jet Traveler,Business Jet Traveler,New service,Executive
UN agency weighs options for long-term airplane emissions goal,"A UN agency agreed on Friday to prioritise studying options for a long-term goal to reduce aviation emissions aimed at combating climate change, but made no firm commitments and faced pushback from China and India.",The Business Times,The Business Times,Enviromental issues,Generic
Boeing's F-18 jet may have a leg up in Germany over Eurofighter,"The race between Boeing’s F-18 jet and the Airbus Eurofighter Typhoon aircraft to replace Germany’s Tornado fighter-bombers has tilted toward the American plane, according to a German media report.",DefenseNews.com,DefenseNews.com,Gov. Contract.,Military
Uber Copter Now Available To All NYC Users Between JFK Airport And Lower Manhattan,"After previously being available only to Platinum and Diamond members, Uber has opened up its helicopter-based ride sharing service between lower Manhattan and JFK Airport to all users in New York City.",Carscoops,Carscoops,New service,Other
CAAi to support Kazakhstan's adoption of British aviation regulatory model,"CAA International (CAAi), the technical cooperation arm of the UK Civil Aviation Authority (UK CAA), has been awarded a new consultancy project to help the Kazakhstan aviation regulator adopt a new aviation oversight model, based on that used in the UK",ADS Advance ,ADS Advance ,Regulation,Generic
Uncertainty About Brexit Troubling UK MRO Providers,The UK’s relationship with the European Union has effected small to mid-size businesses bearing the brunt of uncertainty.,MRO Network,MRO Network,Regulation,Generic
Will Blockchain Enable E-commerce For Aircraft Parts Trading?,Honeywell is one of a growing number of companies using blockchain to develop an online marketplace for aftermarket aircraft parts.,MRO Network,MRO Network,New technology,Generic
Kitty Hawk Reveals Ultra-Quiet 'Heaviside' eVTOL Design,"The secretive electric aircraft company Kitty Hawk, backed by Google co-founder Larry Page, revealed its third electric vertical takeoff and landing (eVTOL) design: a small, quiet aircraft with eight tilting propellers called ‘Heaviside,’ named after engineer and physicist Oliver Heaviside (1850-1925).",Avionics International,Avionics International,VTOL,Other
The Skai hydrogen-powered aircraft produces zero emissions,"Alaka’i Technologies has launched a zero-emissions aircraft with six rotors, electric motors and hydrogen fuel cells as well as a range of 400 miles or four hours. The helicopter-meets-drone aircraft was designed to be piloted either in person, remotely or autonomously, with ample space for up to five passengers.",Inhabitat,Inhabitat,VTOL,Other
"Despite Boeing 737 Max grounding, Spirit AeroSystems continues fuselage production","The aircraft part-making company manufactures 52 fuselages for Boeing per month, despite the aerospace giant decreasing its output to 42 planes a month, after the Federal Aviation Administration grounded the aircraft. ",Fox Business,Fox Business,Reliability issues,Commercial
ATR Board Greenlights Short-runway ATR 42-600 Variant,ATR will move ahead with the development of a short takeoff and landing version of the ATR 42-600 after its board of directors formally authorized the launch of the program.,Aviation International News,Aviation International News,New aircraft,Commercial
Boeing Ponders The 767X – Is This The 797 NMA?,"According to reporting by Flight Global today, Boeing is considering a new version of its popular 767 widebody jet. The new iteration would incorporate the GEnx engines for a good boost in efficiency.",Simple Flying,Simple Flying,New aircraft,Commercial
NASA's experimental all-electric X-57 aircraft is a step closer to flight,"NASA has taken delivery of its all-electric X-57 “Maxwell” aircraft, taking the agency a step closer to comprehensive testing of its first all-electric experimental aircraft.",Digital Trends,Digital Trends,New aircraft,Generic
Neste’s renewable aviation business expands with office in the Netherlands,"Renewable diesel producer Neste has opened a new office in Hoofddorp, in greater Amsterdam in the Netherlands, which will serve as a global hub for the company’s rapidly expanding renewable aviation business.",Biofuels International Magazine,Biofuels International Magazine,Fueling,Generic
"Porsche and Boeing collaborate on 'premium', propeller-free eVTOL ","Announcing potential long-term plans for the luxury German car company to move into “the third dimension of travel”, the new partners revealed the first image of the concept.",Professional Engineering,Professional Engineering,VTOL,Other
South Korea Is Working on a Stealth Fighter,South Korea has joined Japan and Turkey in the group of middle powers that all are trying to develop unique stealth fighters.,The National Interest Online ,The National Interest Online ,New aircraft,Military
TBD's Engineering Platforms Enhance Safety and Boost Productivity at Storm Aviation,"Constructed to improve safety and enable engineers to work faster and more efficiently, TBD’s focus on high-quality materials, streamlined design and UK manufacturing facility made them the preferred supplier for the project",AviationPros.com,AviationPros.com,Product,Generic
Why United Airlines Would Be Interested In The Boeing NMA,"United Airlines, with its fleet of aging 757s and 767s, is a top contender to place a big order for Boeing’s NMA, also known as the 797. Why would this aircraft be such a good fit for the US airline, and will Boeing be in time to snag the order? Let’s take a look.",Simple Flying,Simple Flying,Aircraft sales,Commercial
Duncan Aviation and Rotables Sales Announces Dedicated European Contract,"Duncan Aviation named Sandra Phelps as its International Parts and Rotables Sales Representative dedicated to the EU (European Union) member states. In this role, Phelps will specialize in aircraft parts sales in the European market, managing work orders, parts exchange transactions, and international shipments, including hazardous material.",AviationPros.com,AviationPros.com,Team,Generic
NASA Develops New Supersonic Plane That Flies Faster Than Speed Of Sound Without Sonic Booms,"NASA is currently working with defense contractor Lockheed Martin in developing a supersonic plane that’s capable of flying faster than the speed of sound. But, unlike other supersonic jets, NASA’s new plane will not produce sonic booms.",International Business Times,International Business Times,New aircraft,Military
TU Delft Reveals Cabin Design For Flying-V Concept Aircraft,A multidisciplinary team from the Delft University of Technology (TU Delft) has revealed its initial cabin interior designs for the Flying-V concept aircraft that it is researching together with Airbus and which has the financial support of KLM.,APEX Media,APEX Media,New aircraft,Commercial
Vertex Aerospace Secures $180M Navy T-45 Aircraft Support Contract Option,"Vertex Aerospace has secured a one-year, $180.4M contract modification to perform logistics, maintenance and engineering work on the U.S. Navy's T-45 trainer aircraft.",GovConWire,GovConWire,Gov. Contract.,Military
Boeing to Provide Engineering Support to US Navy's P-8A Test Aircraft,Boeing has won a $13.5 million contract for supplies and engineering services in support of government flight operations on the P-8A flight test aircraft and the Naval Air Station System Integration Laboratory.,Defenseworld.net,Defenseworld.net,Gov. Contract.,Military
AFI KLM E&M Won Amother MRO of the Year Award,"AFI KLM E&M has received the award from trade magazine Aviation Week, in a ceremony held during the MRO Asia-Pacific event in Singapore. Each year, these coveted awards are handed out to the top-performing operators around the world for their achievements and contributions to the MRO industry.",AviationPros.com,AviationPros.com,Service Quality,Commercial
FAA ORDERS INSPECTION FOR AIRBUS A220 AND EMBRAER E2 P&W ENGINES,"The Federal Aviation Administration (FAA) has issued a new airworthiness directive (AD) for the Pratt & Whitney engines that power the Airbus A220 and Embraer E2 190/95, following the two recent in-flight shutdowns involving the PW1524G-3 engine.",Sam Chui,Sam Chui,Self-awareness,Commercial
Lockheed Martin submits bid to supply F-21s to Indian Air Force,"American aerospace major Lockheed Martin has submitted a proposal evincing preliminary interest to supply F-21 fighter jets to the Indian Air Force, and winning the bid may result in it working with 400 local companies, a senior official said.",Defence Aviation Post,Defence Aviation Post,Gov. Contract.,Military
Navy Awards Contract for 9 E-2D Aircraft for Japan,The Navy has ordered nine E-2D Advanced Hawkeye from Northrop Grumman Systems Corp. for the government of Japan.  ,SEAPOWER Magazine Online,SEAPOWER Magazine Online,Gov. Contract.,Military
Embraer Praetor 500 recebe aprovação da EASA e da FAA e obtém certificação tríplice,"A Embraer anuncia que seu mais novo jato executivo, o Praetor 500, da categoria de jatos médios, recebeu certificação das agências regulatórias da Europa (European Union Aviation Safety Agency - EASA) e dos Estados Unidos (Federal Aviation Administration - FAA)",Aeroflap,Aeroflap,Self-awareness,Executive
Air Force eyes 3-D printing as a way to trim costs,"Under a new agreement with the jet engine division of General Electric, Air Force agencies can print certain replacement parts rather than order new ones.",The Washington Post,The Washington Post,New technology,Military
Grand Opening of XEOS Aircraft Engine Service Center,The company is a joint venture of Lufthansa Technik (51 percentage) and GE Aviation (49 percentage) and is a service centro for GEnx-2B and GE9X engines. It was built in a record time of 16 months. ,AviationPros.com,AviationPros.com,Deal,Commercial
FACC to present new 'lip seals' at MRO Asia-Pacific in Singapore,FACC will be presenting its innovative services and new “Lip Seals” for the first time at the MRO Asia-Pacific in Singapore.,Aerospace Manufacturing,Aerospace Manufacturing,New service,Commercial
American Airlines is Spending $100 Million On a New Parts Facility,"""This new facility will provide ample space to store parts, which enables us to select parts up to 75% faster than we currently can, minimizing any potential maintenance delays,"" said spokeswoman Lanesha Gipson.",AviationPros.com,AviationPros.com,New facility,Commercial
Magnetic MRO Training Celebrates the Expansion,"The new premises were opened on Thursday, 19th September 2019 and are aimed to be used mainly by Magnetic MRO and Estonian Aviation Academy for theoretical technical training for future aircraft mechanics.",AviationPros.com,AviationPros.com,Expansion,Generic
Macquarie Infrastructure Buys UK's Farnborough Airport,"Operated by TAG since 1997, Farnborough Airport has been sold to Macquarie Infrastructure and Real Assets, which is invested in 12 commercial airports across Europe and Australia, as well as owning U.S.-based FBO chain Atlantic Aviation.",Aviation International News,Aviation International News,Expansion,Executive
Airbus e Alibaba fecham acordo para uso de data center na China,"A Airbus assinou um acordo de cooperação com a Alibaba Cloud, a espinha dorsal de inteligência de dados do gigante do comércio eletrônico chinês Alibaba Group, para cooperar no desenvolvimento de um Skywise Data Center na China.",AERO Magazine,AERO Magazine,Deal,Commercial
Boeing Australia entra em colaboração para desenvolver inteligencia artificial em sistemas não tripulados,A Boeing estão em parceria com o Centro de Pesquisa Cooperativa de Defesa de Sistemas Autonomos Confiáveis da Austrália (DCRC) para desenvolver tecnologias avançadas de inteligência artifical (IA) para criar sistemas não tripulados mais inteligentes para forças globais.,Aeroflap,Aeroflap,New technology,Military
Boeing Wins $2.6B for KC-46 Production | Pratt & Whitney Tapped For Jordan FMS | DoS Approves AH-6i FMS To Thailand,Boeing Wins $2.6B for KC-46 Production | Pratt & Whitney Tapped For Jordan FMS | DoS Approves AH-6i FMS To Thailand,Defense Industry Daily,Defense Industry Daily,Gov. Contract.,Military
Look For Pressure On MRO From Lease Transition Checks,"IBA’s September Market Update predicted a number of trends relevant to the aircraft aftermarket. On the traffic- and MRO-driving GDP growth, IBA expects the advanced economics to slow from 1.9% growth in 2019 to 1.7% in 2020.",MRO Network,MRO Network,Market,Generic
"Product Support Survey: Engines, Part 3","Rolls-Royce and Williams International took first place for the turbofan segment in this year’s AIN Engine Product Support Survey with a tied Overall Average of 8.2 (out of a possible 10). Williams retains its first-place status from last year, whle Rolls-Royce climbed from last year’s second place. In second place this year are GE and Pratt  & Whitney Canada at 8.0.",Aviation International News,Aviation International News,Service Quality,Generic
CVM aceita acordo com executivo da Embraer sobre anúncio do acordo com Boeing,"A Comissão de Valores Mobiliários (CVM) informou nesta terça-feira que o diretor de relações com investidores da Embraer (EMBR3), Nelson Krahenbuhl Salgado, aceitou pagar 400 mil reais dentro de processo aberto por indícios de irregularidades na comunicação do acordo de compra do controle da divisão comercial da fabricante brasileira de aviões pela Boeing.",Money Times,Money Times,Self-awareness,Military
Private Jet Services Face Identity Crisis,"The need for hands-on, personalized customer service cannot be overlooked in private aviation, even as technology is disrupting the legacy business model.",Skift,Skift,Market,Executive
Jasmin on the scent of success with first E170,"There was much joy and relief on June 20 when the first E170 for Tunisian private airline, Jasmin Airways, landed at Enfidha Airport. CEO, Ali Ben Amara, told Anuradha Deenapanray, that the company’s philosophy is based on excellence in air transport.",Arabian Aerospace,Arabian Aerospace,Self-awareness,Commercial
CAE Inaugurates New Commercial Aviation Training Centers in London Gatwick and Manchester,"CAE inaugurated two new CAE training centers in the United Kingdom -London Gatwick and Manchester- to support the start of its 10-year exclusive pilot training agreement with easyJet announced in November 2018, as well as the growing training needs of airlines in Europe.",AviationPros.com,AviationPros.com,New facility,Commercial
Honeywell Refines Service Strategy With Forge,"Honeywell is aiming to transform from an aerospace manufacturer into a service provider, offering its data analytics capabilities to the aviation industry and beyond.",MRO Network,MRO Network,New service,Generic
Airbus Opens A New A320 Fuselage Assembly Line In Hamburg,"Airbus has opened a new assembly line for its bestselling A320 family of aircraft. Using some of the latest digital automation technology available, the facility will be responsible for constructing fuselage bodies ready to go off for final assembly.",Simple Flying,Simple Flying,New facility,Commercial
Rolls-Royce receives $109 million to support T56 family of aircraft engines,"The U.S. leading aircraft engines supplier Rolls-Royce Corp. has been awarded a maximum $109,252,327 requirements contract for supplies related to the support of the T56 family of aircraft engines, according to the U.S. Department of Defense.",Defence Blog,Defence Blog,Gov. Contract.,Military
Embraer delays timeline for close of Boeing deal to early 2020,The new timeline comes after the European Commission said it would do an extensive investigation of the deal on antitrust grounds. Embraer also said on Thursday it had received approval from U.S regulators.,Reuters,Reuters,Self-awareness,Military
"Boeing, Embraer Plan JV to Market Medium Airlift KC-390 Aircraft",Boeing and Embraer are preparing to launch a joint venture to promote and develop markets for the multi-mission medium airlift KC-390 while expecting all regulatory approvals for their commercial joint venture by 2020.,Defenseworld.net,Defenseworld.net,Self-awareness,Military
Brazilian defence cuts to affect the Gripen and KC-390 programmes,The troubles the Brazilian economy is still suffering from have led to a big reduction on defence spending that will delay the F-39 Gripen fighter and KC-390 airlifter acquisition programmes,Jane's 360,Jane's 360,Self-awareness,Military
More Rafales for India?,"A new order for a further 36 Dassault Rafale fighters will be signed in early 2020, suggests a recently published report by the Indian Defence Research Wing. Moves toward ordering a second batch were first reported in early 2017 and attributed to rising tensions with China. ",Aviation International News,Aviation International News,Aircraft sales,Military
"MRO News Briefs, Sept. 22-28","Indian carrier Vistara has signed a long-term contract to partner with Airbus for its Flight Hour Services – Tailored Support Package. The agreement covers engineering and maintenance for 62 aircraft, including 23 existing ones.",MRO Network,MRO Network,Deal,Commercial
"SAS, Finnair Join Nordic Electric Aviation Network",The Nordic region–or Norway at least–is already known as a world leader in electric cars. Now the region is gearing itself up for a similar journey with electric aircraft. Scandinavian Airlines (SAS) and Finnair have joined other partners including Icelandair in the Nordic Network for Electric Aviation (NEA).,Forbes,Forbes,Deal,Commercial
AAR Sees More Opportunity To Sell Used Aircraft To Government,"After landing a contract to deliver two 737s and their support equipment to the U.S. Marine Corps, AAR is looking to shop the used aircraft example around to other government customers.",MRO Network,MRO Network,Aircraft sales,Military
MRO Asia 2019 News in Brief,Safran Nacelles signed a NacelleLife  support contract with All Nippon Airways covering this carrier’s three Airbus A380 jetliners.,Asian Aviation,Asian Aviation,Deal,Commercial
Unfilled orders of nondefense aircraft and parts fall 0.5 percent in April,"Unfilled orders for nondefense aircraft and parts decreased $3.12 billion, or 0.5 percent, to $590.62 billion in April, according to a U.S. Census Bureau report before released in August.",Palmetto Business Daily,Palmetto Business Daily,Market,Generic
"Exclusive: Dubai Aerospace drops plans for big aircraft order, targets M&A deal","Dubai Aerospace Enterprise favors expanding its fleet via a takeover of a rival after the group was unable to agree on a major order from Airbus (AIR.PA) and Boeing (BA.N), its chief executive said.",Reuters,Reuters,Expansion,Commercial
New facility will serve private aircraft and personnel,"Marathon Aviation broke ground on a lavish new FBO and hangar complex for Florida Keys travelers. A celebratory event took place Sept. 23, with airport officials, the Monroe County Board of County Commissioners, local dignitaries and members of the Marathon Aviation team.",Florida Keys Weekly,Florida Keys Weekly,New facility,Executive
Unity Aviation becomes endorsed Twin Otter service centre,"Under Viking’s FESC Program, Unity Aviation will be providing authorized maintenance services, refurbishment, and warranty-related work on legacy de Havilland and Viking Series 400 Twin Otter aircraft.",Wings Magazine,Wings Magazine,Deal,Commercial
Ontic Signs License With GE Aviation’s Integrated Systems Unit for C-130 Products,"Ontic, a BBA Aviation company and aerospace industry’s leading provider of ‘Extended Life Solutions’ for Original Equipment Manufacturer (OEM) legacy products, has signed a new exclusive license agreement with GE Aviation’s Integrated Systems unit for several C-130 products at the LRU level.",Business Wire,Business Wire,Product,Generic
Largest Sustainable Supply Chains: Rolls-Royce,"The aviation & aerospace giants, Rolls-Royce, operates with a firm sustainability approach. The company seeks to unlock new business opportunities and deliver more efficient products and services to accelerate the transition to a low carbon global economy by reducing the impact of its products.",Supply Chain Digital,Supply Chain Digital,R&D,Generic
PrimeFlight Aviation Services Acquires Global Aviation Services,"PrimeFlight Aviation Services, Inc. and Air T, Inc. announce the acquisition by PrimeFlight of Global Aviation Services, LLC, a business unit of Air T, Inc. (NASDAQ: AIRT). Global Aviation Services is a leading provider of aviation ground support equipment (GSE) maintenance, fleet maintenance, and facility maintenance in the United States.",AviationPros.com,AviationPros.com,M&A,Generic
FLYHT Provides Third Quarter 2019 Update,"After completing third quarter 2019 shipments, FLYHT’s sales order backlog totaled more than $50 million. The sales order backlog is defined as the sum of all unrecognized revenues from previously announced purchase orders and contracts and includes technical services, licenses, and hardware as well as the future value of contracted SaaS products.",GlobeNewswire,GlobeNewswire,Financial,Generic
HAECO Launching Predictive Maintenance Platform,"The HAECO Group is developing a platform called Insight to provide predictive maintenance for customers. HAECO is using Revima’s Flightwatching predictive maintenance tool, and its underlying Wilco platform, to develop Insight.",MRO Network,MRO Network,New service,Generic
"EASA, Airbus Partner On VTOL Platforms",Airbus and the European Aviation Safety Agency (EASA) have signed a Memorandum of Cooperation designed to “bring together their respective experiences and know-how” on developing the next generation of vertical takeoff and landing (VTOL) platforms and associated regulatory framework.,AVweb,AVweb,VTOL,Other
FACC Secures Three-Digit Million Order from Bombardier, The company has placed an order with FACC for the production of thrust reverser trans cowl components for the A320neo aircraft family. ,AviationPros.com,AviationPros.com,Deal,Commercial
"Spirit AeroSystems emerges as front-runner for Bombardier's Belfast, Morocco plants: sources","Spirit AeroSystems Holdings Inc (SPR.N) has emerged as the front-runner to acquire Bombardier Inc’s (BBDb.TO) aerostructures facilities in Belfast and Morocco, two sources familiar with the matter told Reuters.",Reuters,Reuters,Deal,Generic
Pratt & Whitney Wins $5.7B F135 Engine Contract,Pratt & Whitney has drawn a $5.7-billion award from the U.S. Dept. of Defense funding more than 300 new F135 engines to power forthcoming production (Lots 12 and 13) of the F-35 Lightning II Joint Strike Fighter aircraft.,American Machinist,American Machinist,Gov. Contract.,Military
WinAir releases its range of maintenance schedule templates,"Aviation management software provider WinAir has launched its range of maintenance schedule templates, which allow the user to monitor fleet maintenance and upgrades while adhering to industry standards and regulations of operational compliance",AirMed and Rescue Magazine,AirMed and Rescue Magazine,New service,Generic
Avfuel Supplying SAF to Bizjets Traveling to NBAA-BACE,"The SAF at SLN will be available beginning October 17; OEMs Embraer, Textron Aviation, and Dassault, along with “many other private operators,” have committed to fueling with the SAF en route to the show, the company said.",Aviation International News,Aviation International News,Fueling,Executive
Commercial aviation activity reaches highest level ever in second quarter,"Activity in the commercial aviation industry reached a record high in the second quarter, the Commercial Aviation Association of Southern Africa (Caasa) reports.",Creamer Media's Engineering News,Creamer Media's Engineering News,Market,Commercial
"500+ F-35s will be deployed in Europe in 10 years, Lockheed Martin predicts",Lockheed Martin believes by 2030 there will be more than 500 F-35s deployed in Europe – more than there are Eurofighters currently in operation worldwide.,PES Media,PES Media,Aircraft sales,Military
Former Airbus Americas Executive Outlines Top Five Future Challenges,"Topping Eccleston’s list of future engineering challenges were urban air mobility, pilotless flight, more environmentally friendly aircraft, factories of the future, and space exploration, from the moon to Mars.",ERAU News,ERAU News,Geopolitc environment,Generic
Aviation: Concerns over non-implementation of safety guide,Experts in the aviation industry have listed why it is very difficult for some safety recommendations of Accident Investigation Bureau (AIB) to be implemented.,New Telegraph Newspaper,New Telegraph Newspaper,Regulation,Generic
Tulsa's American Airlines is largest commercial aviation maintenance facility in the world,It has more than three million square feet of hangar and shop space across 33 acres. It's large because what they work on is large.,KTUL,KTUL,New facility,Commercial
Croatia's Government Is Injecting Funds Into Its National Airline,"The Croatian Government will be giving 250 million Kuna (33.8 million Euros) to Croatia Airlines over the next two years, ahead of its privatization. The government owns almost 100% of this airline, which last received government funds ahead of Croatia’s accession to the European Union in 2013.",Simple Flying,Simple Flying,Investment,Commercial
